Ticker,Year,artificial intelligence,AI,ESG
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2022,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
ADSK,2023,0,0,0
AMGN,2019,0,0,0
AMGN,2019,0,0,0
AMGN,2019,0,0,0
AMGN,2019,0,0,0
AMGN,2019,0,0,0
AMGN,2019,0,0,0
AMGN,2019,0,0,0
AMGN,2019,0,0,0
AMGN,2019,0,0,0
AMGN,2019,0,0,0
AMGN,2019,0,0,0
AMGN,2019,0,0,0
AMGN,2019,0,0,0
AMGN,2019,0,0,0
